[0.020s] Invoking command in '/home/marcos/arduinobot_ws/build/arduinobot_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/marcos/arduinobot_ws/install/arduinobot_py_examples:/home/marcos/ros2_ws/install/turtle_catch_them_all:/home/marcos/ros2_ws/install/my_py_pkg:/home/marcos/ros2_ws/install/exo1_py:/opt/ros/humble /usr/bin/cmake --build /home/marcos/arduinobot_ws/build/arduinobot_description -- -j2 -l2
[0.041s] -- Found ament_cmake: 1.3.9 (/opt/ros/humble/share/ament_cmake/cmake)
[0.156s] -- Found ament_lint_auto: 0.12.11 (/opt/ros/humble/share/ament_lint_auto/cmake)
[0.214s] -- Added test 'flake8' to check Python code syntax and style conventions
[0.215s] -- Added test 'lint_cmake' to check CMake code style
[0.216s] -- Added test 'pep257' to check Python code against some of the docstring style conventions in PEP 257
[0.217s] -- Added test 'xmllint' to check XML markup files
[0.217s] -- Configuring done
[0.222s] -- Generating done
[0.224s] -- Build files have been written to: /home/marcos/arduinobot_ws/build/arduinobot_description
[0.399s] Invoked command in '/home/marcos/arduinobot_ws/build/arduinobot_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/marcos/arduinobot_ws/install/arduinobot_py_examples:/home/marcos/ros2_ws/install/turtle_catch_them_all:/home/marcos/ros2_ws/install/my_py_pkg:/home/marcos/ros2_ws/install/exo1_py:/opt/ros/humble /usr/bin/cmake --build /home/marcos/arduinobot_ws/build/arduinobot_description -- -j2 -l2
[0.435s] Invoking command in '/home/marcos/arduinobot_ws/build/arduinobot_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/marcos/arduinobot_ws/install/arduinobot_py_examples:/home/marcos/ros2_ws/install/turtle_catch_them_all:/home/marcos/ros2_ws/install/my_py_pkg:/home/marcos/ros2_ws/install/exo1_py:/opt/ros/humble /usr/bin/cmake --install /home/marcos/arduinobot_ws/build/arduinobot_description
[0.443s] -- Install configuration: ""
[0.443s] -- Up-to-date: /home/marcos/arduinobot_ws/install/arduinobot_description/share/arduinobot_description/meshes
[0.443s] -- Up-to-date: /home/marcos/arduinobot_ws/install/arduinobot_description/share/arduinobot_description/meshes/link.STL
[0.443s] -- Up-to-date: /home/marcos/arduinobot_ws/install/arduinobot_description/share/arduinobot_description/meshes/plate.STL
[0.443s] -- Up-to-date: /home/marcos/arduinobot_ws/install/arduinobot_description/share/arduinobot_description/meshes/triangular_link.STL
[0.443s] -- Up-to-date: /home/marcos/arduinobot_ws/install/arduinobot_description/share/arduinobot_description/meshes/base_plate.STL
[0.443s] -- Up-to-date: /home/marcos/arduinobot_ws/install/arduinobot_description/share/arduinobot_description/meshes/left_finger.STL
[0.443s] -- Up-to-date: /home/marcos/arduinobot_ws/install/arduinobot_description/share/arduinobot_description/meshes/basement.STL
[0.448s] -- Up-to-date: /home/marcos/arduinobot_ws/install/arduinobot_description/share/arduinobot_description/meshes/claw_support.STL
[0.448s] -- Up-to-date: /home/marcos/arduinobot_ws/install/arduinobot_description/share/arduinobot_description/meshes/pi_camera.STL
[0.448s] -- Up-to-date: /home/marcos/arduinobot_ws/install/arduinobot_description/share/arduinobot_description/meshes/horizontal_arm.STL
[0.448s] -- Up-to-date: /home/marcos/arduinobot_ws/install/arduinobot_description/share/arduinobot_description/meshes/forward_drive_arm.STL
[0.448s] -- Up-to-date: /home/marcos/arduinobot_ws/install/arduinobot_description/share/arduinobot_description/meshes/servo_plate.STL
[0.448s] -- Up-to-date: /home/marcos/arduinobot_ws/install/arduinobot_description/share/arduinobot_description/meshes/vertical_drive_arm.STL
[0.448s] -- Up-to-date: /home/marcos/arduinobot_ws/install/arduinobot_description/share/arduinobot_description/meshes/right_finger.STL
[0.448s] -- Up-to-date: /home/marcos/arduinobot_ws/install/arduinobot_description/share/arduinobot_description/meshes/round_plate.STL
[0.448s] -- Up-to-date: /home/marcos/arduinobot_ws/install/arduinobot_description/share/arduinobot_description/models
[0.448s] -- Up-to-date: /home/marcos/arduinobot_ws/install/arduinobot_description/share/arduinobot_description/models/sun
[0.448s] -- Up-to-date: /home/marcos/arduinobot_ws/install/arduinobot_description/share/arduinobot_description/models/sun/model-1_3.sdf
[0.448s] -- Up-to-date: /home/marcos/arduinobot_ws/install/arduinobot_description/share/arduinobot_description/models/sun/model.config
[0.448s] -- Up-to-date: /home/marcos/arduinobot_ws/install/arduinobot_description/share/arduinobot_description/models/sun/model.sdf
[0.448s] -- Up-to-date: /home/marcos/arduinobot_ws/install/arduinobot_description/share/arduinobot_description/models/sun/model-1_2.sdf
[0.448s] -- Up-to-date: /home/marcos/arduinobot_ws/install/arduinobot_description/share/arduinobot_description/models/sun/model-1_4.sdf
[0.448s] -- Up-to-date: /home/marcos/arduinobot_ws/install/arduinobot_description/share/arduinobot_description/models/ground_plane
[0.449s] -- Up-to-date: /home/marcos/arduinobot_ws/install/arduinobot_description/share/arduinobot_description/models/ground_plane/model-1_3.sdf
[0.449s] -- Up-to-date: /home/marcos/arduinobot_ws/install/arduinobot_description/share/arduinobot_description/models/ground_plane/model.config
[0.449s] -- Up-to-date: /home/marcos/arduinobot_ws/install/arduinobot_description/share/arduinobot_description/models/ground_plane/model.sdf
[0.449s] -- Up-to-date: /home/marcos/arduinobot_ws/install/arduinobot_description/share/arduinobot_description/models/ground_plane/model-1_2.sdf
[0.449s] -- Up-to-date: /home/marcos/arduinobot_ws/install/arduinobot_description/share/arduinobot_description/models/ground_plane/model-1_4.sdf
